    PID TTY      STAT   TIME COMMAND
    550 ?        I<     0:00 [kworker/R-cfg80211]
    552 ?        I      0:00 [kworker/7:2-events]
    650 ?        I<     0:00 [kworker/R-cryptd]
    657 ?        I<     0:00 [kworker/R-ttm]
    677 ?        S      0:00 [card1-crtc0]
    679 ?        S      0:00 [card1-crtc1]
    680 ?        S      0:00 [card1-crtc2]
    694 ?        S      0:23 [irq/155-rtw88_pci]
    989 ?        Ss     0:00 avahi-daemon: running [Prince.local]
    990 ?        Ss     0:00 /usr/libexec/bluetooth/bluetoothd
    991 ?        Ss     0:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    997 ?        Ssl    0:00 /usr/libexec/gnome-remote-desktop-daemon --system
   1008 ?        Ssl    0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   1022 ?        Ssl    0:03 /usr/lib/snapd/snapd
   1042 ?        Ssl    0:00 /usr/libexec/accounts-daemon
   1043 ?        Ss     0:00 /usr/sbin/cron -f -P
   1044 ?        Ssl    0:00 /usr/libexec/switcheroo-control
   1047 ?        Ss     0:00 /usr/lib/systemd/systemd-logind
   1048 ?        Ssl    0:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
   1049 ?        Ssl    0:00 /usr/libexec/udisks2/udisksd
   1079 ?        S      0:00 avahi-daemon: chroot helper
   1103 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
   1113 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
   1118 ?        Ss     0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1222 ?        S<     0:00 [krfcommd]
   1253 ?        Ssl    0:00 /usr/libexec/upowerd
   1264 ?        Ssl    0:00 /usr/sbin/ModemManager
   1637 ?        Ss     0:00 /usr/sbin/cupsd -l
   1640 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1653 ?        Ssl    0:00 /usr/sbin/gdm3
   1683 ?        S      0:00 [psimon]
   1723 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1867 ?        Ssl    0:00 /usr/libexec/colord
   2312 ?        Ssl    0:00 /usr/sbin/cups-browsed
   2313 ?        Ssl    0:00 /usr/libexec/power-profiles-daemon
   2326 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
   2334 ?        Ss     0:01 /usr/lib/systemd/systemd --user
   2335 ?        S      0:00 (sd-pam)
   2348 ?        Ss     0:00 /usr/bin/mpris-proxy
   2349 ?        S<sl   0:01 /usr/bin/pipewire
   2351 ?        Ssl    0:00 /usr/bin/pipewire -c filter-chain.conf
   2354 ?        S<sl   0:02 /usr/bin/wireplumber
   2355 ?        S<sl   0:00 /usr/bin/pipewire-pulse
   2356 ?        Ss     0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2361 ?        SLsl   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   2395 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   2399 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   2407 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2451 tty2     Ssl+   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   2460 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --session=ubuntu
   2536 ?        Ssl    0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   2537 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   2555 ?        Ssl    0:00 /usr/libexec/gvfsd
   2563 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2578 ?        Ssl    0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2612 ?        Sl     0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   2625 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   2626 ?        Ssl    3:21 /usr/bin/gnome-shell
   2670 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   2690 ?        Sl     0:00 /usr/libexec/gnome-shell-calendar-server
   2697 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   2708 ?        Sl     0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2712 ?        Ssl    0:07 /usr/bin/ibus-daemon --panel disable
   2715 ?        Ssl    0:00 /usr/libexec/gsd-a11y-settings
   2717 ?        Ssl    0:00 /usr/libexec/gsd-color
   2732 ?        Ssl    0:00 /usr/libexec/gsd-datetime
   2733 ?        Ssl    0:00 /usr/libexec/gsd-housekeeping
   2738 ?        Ssl    0:00 /usr/libexec/gsd-keyboard
   2741 ?        Ssl    0:00 /usr/libexec/gsd-media-keys
   2745 ?        Ssl    0:00 /usr/libexec/gsd-power
   2749 ?        Ssl    0:00 /usr/libexec/gsd-print-notifications
   2751 ?        Ssl    0:00 /usr/libexec/gsd-rfkill
   2755 ?        Ssl    0:00 /usr/libexec/gsd-screensaver-proxy
   2757 ?        Ssl    0:00 /usr/libexec/gsd-sharing
   2760 ?        Ssl    0:00 /usr/libexec/gsd-smartcard
   2766 ?        Ssl    0:00 /usr/libexec/gsd-sound
   2767 ?        Ssl    0:00 /usr/libexec/gsd-wacom
   2772 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2775 ?        Sl     0:00 /usr/libexec/gsd-disk-utility-notify
   2777 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   2830 ?        Sl     0:00 /usr/libexec/goa-daemon
   2867 ?        Sl     0:00 /usr/libexec/ibus-memconf
   2869 ?        Sl     0:05 /usr/libexec/ibus-extension-gtk3
   2878 ?        Sl     0:00 /usr/libexec/ibus-portal
   2921 ?        Sl     0:00 /usr/libexec/goa-identity-service
   2937 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   2947 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   2955 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   2958 ?        Sl     0:00 /usr/libexec/gsd-printer
   2966 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   2982 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   2983 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   3010 ?        Sl     0:02 /usr/libexec/ibus-engine-simple
   3035 ?        Ssl    0:00 /usr/libexec/dconf-service
   3041 ?        Ss     0:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
   3080 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
   3112 ?        Sl     0:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
   3147 ?        SNsl   0:00 /usr/libexec/localsearch-3
   3154 ?        Sl     0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   3174 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal
   3180 ?        Ssl    0:01 /usr/libexec/xdg-desktop-portal-gnome
   3190 ?        Sl     0:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
   3245 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   3246 ?        Ssl    0:01 /usr/libexec/xdg-desktop-portal-gtk
   3298 ?        SNl    0:00 /usr/libexec/localsearch-extractor-3 --socket-fd 3
   3402 ?        S      0:00 /bin/bash /usr/bin/brave-browser-stable
   3407 ?        S      0:00 cat
   3408 ?        S      0:00 cat
   3409 ?        SLl    2:08 /opt/brave.com/brave/brave
   3430 ?        Sl     0:00 /opt/brave.com/brave/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/prince/.config/BraveSoftware/Brave-Browser/Crash Reports --url=https://cr.brave.com --annotation=lsb-release=Ubuntu 25.04 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=138.1.80.125 --initial-client-fd=5 --shared-client-connection
   3433 ?        Sl     0:00 /opt/brave.com/brave/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/prince/.config/BraveSoftware/Brave-Browser/Crash Reports --url=https://cr.brave.com --annotation=lsb-release=Ubuntu 25.04 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=138.1.80.125 --initial-client-fd=4 --shared-client-connection
   3447 ?        S      0:00 /opt/brave.com/brave/brave --type=zygote --no-zygote-sandbox --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
   3448 ?        S      0:00 /opt/brave.com/brave/brave --type=zygote --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
   3454 ?        S      0:00 /opt/brave.com/brave/brave --type=zygote --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
   3494 ?        Sl     1:46 /opt/brave.com/brave/brave --type=gpu-process --ozone-platform=wayland --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   3499 ?        Sl     0:14 /opt/brave.com/brave/brave --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   3500 ?        Sl     0:02 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.2PQ692 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
   3513 ?        Sl     0:00 /opt/brave.com/brave/brave --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   3524 ?        Ssl    0:01 /usr/libexec/gsd-xsettings
   3537 ?        Sl     0:01 /usr/libexec/mutter-x11-frames
   3555 ?        Sl     0:00 /usr/libexec/ibus-x11
   3585 ?        Sl     0:01 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=41424736 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   3758 ?        Sl     0:00 /usr/bin/snap userd
   4150 ?        Sl     0:39 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=46197988 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4197 ?        Sl     0:09 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=56055034 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4227 ?        Sl     0:00 /opt/brave.com/brave/brave --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3430 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4253 ?        Sl     0:00 /usr/bin/update-notifier
   4342 ?        Sl     0:48 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=22 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=95993379 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4551 ?        Sl     0:01 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=43 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=326322445 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4573 ?        Sl     0:00 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=44 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=441206590 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4581 ?        Sl     0:00 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=45 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=472922267 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4597 ?        Sl     0:38 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --extension-process --init-isolate-as-foreground --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=47 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=476000632 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4606 ?        Sl     0:29 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --pdf-renderer --ozone-platform=wayland --lang=en-US --js-flags=--jitless --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=48 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=476446018 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4614 ?        Sl     0:06 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --pdf-renderer --ozone-platform=wayland --lang=en-US --js-flags=--jitless --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=49 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=476468328 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   4638 ?        Ssl    0:02 /usr/libexec/fwupd/fwupd
   4716 ?        Sl     0:00 /usr/libexec/gvfsd-recent --spawner :1.21 /org/gtk/gvfs/exec_spaw/1
   4717 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.21 /org/gtk/gvfs/exec_spaw/2
   4731 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.21 /org/gtk/gvfs/exec_spaw/3
   4738 ?        Sl     0:00 /usr/libexec/gvfsd-wsdd --spawner :1.21 /org/gtk/gvfs/exec_spaw/4
   4743 ?        S      0:00 python3 /usr/bin/wsdd --no-host --discovery --listen /run/user/1000/gvfsd/wsdd
   4897 ?        I      0:04 [kworker/6:0-i915-unordered]
   4937 ?        SLsl   0:08 /usr/share/code/code .
   4941 ?        S      0:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
   4942 ?        S      0:00 /usr/share/code/code --type=zygote
   4944 ?        S      0:00 /usr/share/code/code --type=zygote
   4963 ?        Sl     0:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/prince/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=76dd4eac-0b78-40be-848a-a4fc00ce819a&iid=76dd4eac-0b78-40be-848a-a4fc00ce819a&sid=76dd4eac-0b78-40be-848a-a4fc00ce819a --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.102.3 --annotation=lsb-release=Ubuntu 25.04 --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=35.6.0 --initial-client-fd=46 --shared-client-connection
   4979 ?        Sl     0:06 /usr/share/code/code --type=zygote --no-zygote-sandbox
